,Species,gps,Year,nivalis_2007_18km,nivalis_2008_18km,nivalis_2009_18km,nivalis_2010_18km,nivalis_2011_18km,nivalis_2012_18km,nivalis_2013_18km,nivalis_2014_18km,nivalis_2015_18km,nivalis_2016_18km,nivalis_2017_18km,nivalis_2018_18km,nivalis_2019_18km,nivalis_2020_18km,nivalis_2021_18km,alpestris_2007_18km,alpestris_2008_18km,alpestris_2009_18km,alpestris_2010_18km,alpestris_2011_18km,alpestris_2012_18km,alpestris_2013_18km,alpestris_2014_18km,alpestris_2015_18km,alpestris_2016_18km,alpestris_2017_18km,alpestris_2018_18km,alpestris_2019_18km,alpestris_2020_18km,alpestris_2021_18km,mexicanus_2007_18km,mexicanus_2008_18km,mexicanus_2009_18km,mexicanus_2010_18km,mexicanus_2011_18km,mexicanus_2012_18km,mexicanus_2013_18km,mexicanus_2014_18km,mexicanus_2015_18km,mexicanus_2016_18km,mexicanus_2017_18km,mexicanus_2018_18km,mexicanus_2019_18km,mexicanus_2020_18km,mexicanus_2021_18km
82,Brachiacantha ursina,"(40.094627, -79.332573)",2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Brachiacantha ursina,"(40.440569, -79.959705)",2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Brachiacantha ursina,"(44.4672106885, -77.3174858093)",2013,0,0,0,0,1,0,0,2,0,0,0,1,2,5,5,0,0,0,0,4,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Brachiacantha ursina,"(42.1276620605, -83.0987754464)",2013,2,4,3,5,5,8,16,10,16,30,21,13,16,20,30,18,12,15,19,22,29,26,38,66,78,111,93,112,150,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Brachiacantha ursina,"(46.3070777778, -79.4435777778)",2013,3,0,0,1,0,2,0,5,5,9,9,6,10,8,0,0,0,0,1,0,1,3,1,0,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Brachiacantha ursina,"(47.532222, -92.630833)",2013,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Brachiacantha ursina,"(47.43674, -92.62461)",2013,0,0,1,1,0,0,4,6,4,4,2,4,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Brachiacantha ursina,"(44.007477, -92.442548)",2013,4,1,2,3,1,1,3,1,6,5,5,5,14,12,28,7,3,4,1,3,4,12,9,11,17,27,41,40,62,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Brachiacantha ursina,"(39.695612, -75.611707)",2013,0,1,3,1,1,1,0,3,5,2,2,1,3,0,1,2,2,3,8,3,9,18,16,26,31,25,15,15,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Brachiacantha ursina,"(44.414581, -92.69681)",2013,0,0,0,0,0,1,5,2,0,0,1,0,3,1,5,0,0,0,1,0,0,4,6,2,5,4,2,8,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Brachiacantha ursina,"(39.440152, -84.221759)",2013,0,0,0,0,0,0,0,3,0,0,0,0,1,0,9,5,10,4,1,3,3,12,6,17,9,4,19,13,17,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Brachiacantha ursina,"(39.712555, -83.949396)",2013,0,0,0,0,0,0,0,8,2,0,0,0,0,2,5,4,4,2,3,1,3,12,23,24,28,24,26,22,10,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
